Sample,Lithology/chemistry,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,SO3,P2O5,Cl,Total,,,
95_2_54_56,UIM,3.77,4.49,0.57,61.36,15.96,4.47,2.14,3.54,0.05,0.18,0.12,,99.93,,,
95_3_55_57,UIM,3,3.88,0.58,58.5,15.99,4.69,3.2,3.8,0.04,,0.07,,98.24,,,
100_1_57_59,UIM,5.11,4.7,0.59,62.03,15.87,3.62,1.7,3.61,0.06,,0.07,,101.11,,,
100_2_89.5_91.5 ,UIM,3.16,3.47,0.34,68.65,12.77,4.06,1.54,2.48,0.07,,0.04,,100.81,,,
192_1_56_58,LIMB,3.02,2.61,0.35,64.56,13.63,3.8,3.78,4.54,0.05,,0.07,,100.95,,,
194_3_19_21,LIMB,1.31,1.98,1.15,47.42,13.98,2.91,10.36,10.68,0.15,,0.08,,99,,,
263_1_15_17,LIMB,2.27,1.66,0.48,58.22,14.29,3.93,6.91,6.95,0.07,,0.07,,100.5,,,
267_3_49_51,LIMB,4.52,1.44,0.32,65.25,14.42,4.17,3,3.55,0.07,,0.07,,99.59,,,
273_2_78_80,LIMB,2.26,2.07,0.67,60.03,14.88,4.76,4.45,5.76,0.13,,0.13,,98.86,,,
279_2_54.5_56.5,LIMB,2.55,2.36,0.6,64.66,14.84,4.75,2.95,5.21,0.15,,0.13,,101.27,,,
281_2_50_52,LIMB,3.46,1.48,0.35,69.97,13.26,4.59,2.29,3.53,0.06,,0.08,,101.21,,,
282_1_80_82,LIMB,3.55,1.24,0.44,69.45,12.83,4.07,2.51,3.63,0.06,,0.09,,99.96,,,
283_2_46_48,LIMB,2.51,1.89,0.54,60.37,14.58,4.68,5.08,6.03,0.08,,0.1,,100.29,,,
290_2_0_2,LIMB,2.19,2.64,0.76,62.36,14.17,4.62,3.88,5.51,0.19,,0.11,,99.62,,,
293_1_49_52,LIMB,1.68,1.95,0.55,65.78,13.89,5.28,3.03,5.01,0.14,,0.17,,100,,,
293_3_0_3,LIMB,1.05,6.12,1.4,43.97,16.02,2.72,9.41,11.82,0.31,,0.13,,99.27,,,
303_3_17.5_19.5,LIMB,3.19,1.82,0.62,61.75,14.34,4.75,4.09,5.78,0.19,,0.12,,100.09,,,
