Sample,Point No.,Line,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,Total
D3_sph16,5,,1.85,5.47,0.62,66.24,14.86,3.57,2.24,4.67,0.14,0.01,0.00,99.66
D3_sph16,6,,1.82,5.59,0.66,65.86,15.22,3.50,2.24,4.82,0.13,0.00,0.00,99.84
D3_sph17,1,,0.74,28.64,0.39,49.94,11.40,2.83,2.75,3.07,0.08,0.08,0.01,99.91
D3_sph17,2,,0.60,29.59,0.39,50.29,11.20,2.26,2.84,3.08,0.08,0.13,0.01,100.45
D3_sph17,3,,0.79,27.51,0.45,51.32,11.74,2.58,2.66,3.03,0.07,0.00,0.00,100.15
D3_sph17,4,,0.61,28.99,0.39,50.89,11.28,2.48,2.68,2.86,0.05,0.00,0.00,100.24
D3_sph17,5,,0.60,28.76,0.44,50.54,11.29,2.69,2.76,2.76,0.05,0.02,0.00,99.90
D3_sph17,6,,0.77,29.22,0.45,50.57,11.16,2.54,2.82,2.85,0.09,0.04,0.01,100.53
D3_sph18,1,,0.31,28.95,0.58,44.97,12.08,1.21,5.38,4.88,0.11,0.59,0.00,99.06
D3_sph18,2,,0.39,26.91,0.63,46.93,12.55,1.52,4.63,4.54,0.13,0.41,0.00,98.63
D3_sph18,3,,0.57,25.99,0.56,48.86,12.91,1.81,4.58,4.64,0.07,0.43,0.00,100.44
D3_sph18,4,,0.51,26.14,0.66,47.67,12.79,1.85,4.60,4.59,0.16,0.38,0.00,99.34
D3_sph18,5,,0.63,25.83,0.63,48.25,12.67,1.61,4.61,4.75,0.13,0.44,0.01,99.54
D3_sph18,6,,0.56,25.91,0.67,48.52,12.85,2.06,4.61,4.62,0.12,0.43,0.00,100.33
D3_sph19,1,,0.30,31.99,0.47,46.86,11.17,1.23,4.18,3.43,0.09,0.02,0.00,99.74
D3_sph19,2,,0.33,32.30,0.49,47.05,11.07,1.51,4.07,3.15,0.11,0.28,0.01,100.35
D3_sph19,3,,0.42,32.28,0.45,46.67,11.03,1.59,3.97,3.09,0.06,0.55,0.00,100.10
D3_sph19,4,,0.27,30.65,0.46,47.72,11.32,1.66,3.79,3.27,0.08,0.09,0.01,99.31
D3_sph19,5,,0.37,30.75,0.48,47.84,11.43,1.79,3.90,3.22,0.05,0.04,0.00,99.85
D3_sph19,6,,0.51,30.09,0.47,48.78,11.55,1.72,3.67,3.22,0.10,0.07,0.00,100.18
D3_sph20,1,,0.32,22.71,0.59,50.30,12.72,1.33,5.25,6.19,0.19,0.08,0.01,99.67
D3_sph20,2,,0.52,19.58,0.60,52.11,12.93,1.57,4.84,5.74,0.17,0.02,0.00,98.08
D3_sph20,3,,0.64,18.03,0.66,53.81,14.13,1.92,4.07,5.90,0.13,0.04,0.00,99.33
D3_sph20,4,,1.26,11.64,0.59,59.50,14.27,2.69,3.46,5.62,0.15,0.01,0.00,99.17
D3_sph20,5,,1.85,8.58,0.64,63.06,15.18,3.40,2.25,4.02,0.11,0.01,0.00,99.10
D3_sph20,6,,1.90,8.59,0.62,63.77,15.36,3.63,2.35,4.10,0.12,0.00,0.00,100.43
D3_sph20,7,,1.51,11.13,0.53,62.58,14.35,3.39,2.61,3.55,0.11,0.01,0.00,99.76
D3_sph21,1,,0.23,23.65,0.64,47.48,12.83,1.00,7.27,6.71,0.19,0.33,0.00,100.32
D3_sph21,2,,0.98,18.74,0.57,55.47,13.05,2.18,4.08,4.81,0.18,0.01,0.00,100.08
D3_sph21,3,,0.38,22.00,0.62,51.56,13.12,1.65,4.59,5.24,0.15,0.15,0.00,99.47
